Store,Sum of Weekly_Sales
1,222402808.9
2,275382441
3,57586735.07
4,299543953.4
5,45475688.9
6,223756130.6
7,81598275.14
8,129951181.1
9,77789218.99
10,271617713.9
11,193962786.8
12,144287230.2
13,286517703.8
14,288999911.3
15,89133683.92
16,74252425.4
17,127782138.8
18,155114734.2
19,206634862.1
20,301397792.5
21,108117878.9
22,147075648.6
23,198750617.9
24,194016021.3
25,101061179.2
26,143416393.8
27,253855916.9
28,189263680.6
29,77141554.31
30,62716885.12
31,199613905.5
32,166819246.2
33,37160221.96
34,138249763
35,131520672.1
36,53412214.97
37,74202740.32
38,55159626.42
39,207445542.5
40,137870309.8
41,181341934.9
42,79565752.43
43,90565435.41
44,43293087.84
45,112395341.4
Grand Total,6737218987
